feature,count,mean,std,minimum,25_percentile,median,75_percentile,maximum
left_hip_max_deg,100,113.91975184677261,19.222225540764203,70.3474408772341,102.54505110834751,112.60998613045837,124.01230158845178,162.05918401974648
left_hip_mean_deg,100,85.39741454668398,27.91695210851034,43.64513103369091,59.855281482686316,86.86973133318688,103.1715947191087,151.76650625071073
left_hip_std_deg,100,11.113842323434001,4.9508347332326865,2.131918319756394,7.7428149391418675,11.006432724434298,14.317771387650266,27.84975723269718
left_hip_range_deg,100,42.94200252510788,19.258197741867694,11.333756313581944,26.809897269968157,40.45392031609685,57.582657100830794,110.20039506181504
left_hip_bottom_angle_deg,100,77.54400527102055,31.90902816148468,28.81554044224459,47.91683691869093,78.8104304737781,100.29881408162865,153.97873741643068
right_hip_min_deg,100,69.21785477737195,26.569675314080644,29.24814796644384,45.84374243319283,67.1258869590292,88.81094240067625,131.24195812666633
right_hip_max_deg,100,111.51666508692026,15.94521738596226,74.42518306590618,101.60486853918388,108.49101540935902,122.09577203702156,152.78738200888267
right_hip_mean_deg,100,83.29080395572137,24.55453214833592,46.14008645018087,59.85311226873687,85.59976771667954,100.03955680062603,138.04587412338876
right_hip_std_deg,100,10.81135980050708,5.199993864054067,2.875498611704051,6.626668705445455,10.915971077630065,14.251903382138364,24.39820968145649
right_hip_range_deg,100,42.29881030954829,19.357511862097017,12.74997837280074,24.0072610208422,40.62673126568266,59.00871240872409,100.58444069861358
right_hip_bottom_angle_deg,100,75.42568323953996,28.689559563569922,30.023790532358746,48.268847181006976,78.962160484902,96.01366069566252,135.8349669137201
left_ankle_min_deg,100,59.13016351033063,6.859269295063799,46.265419391678265,54.38178238625685,58.54001779561371,62.77630834820504,78.89581523711213
left_ankle_max_deg,100,73.52395852268148,7.54281714870926,60.40154137362703,67.6175155476014,71.46810288030426,78.37968062244008,96.73872702446316
left_ankle_mean_deg,100,64.9497074028171,7.083112768327239,52.31758257790251,59.38420808707096,64.65527510640456,68.8452565308843,84.35426663199128
left_ankle_std_deg,100,3.443348537165399,1.4292185970744113,0.7027675701912257,2.328338858322697,3.479964056202933,4.195918249958352,7.008844807402001
left_ankle_range_deg,100,14.393795012350857,5.715259797949532,3.2333125091278205,10.751853771837606,14.202661602693901,18.248625837370753,28.72449287535257
left_ankle_bottom_angle_deg,100,65.08165389343964,8.343966912731437,47.53037985095791,58.51948816468011,65.62517590912586,69.94475754734702,85.65781484306963
right_ankle_min_deg,100,60.27045794409278,7.04077002639913,46.67427076778775,53.9290984392824,59.585152698784995,65.06935790973566,76.51195955576873
right_ankle_max_deg,100,74.86751632461205,7.075861224110071,62.2874145691888,69.89352664630835,73.56344536620512,79.0913438899575,95.04058966196914
right_ankle_mean_deg,100,66.4272058205474,6.997108588290227,53.9513957616231,60.19563783287294,66.17116526587671,70.49299964237044,82.56718691443996
right_ankle_std_deg,100,3.4785459715813847,1.398045706444643,0.572259262876785,2.4673348685477143,3.414700213932725,4.213467899136772,8.803851684092985
right_ankle_range_deg,100,14.597058380519256,5.097103187116932,2.683232757802827,11.609851883309634,14.53638723360977,17.603325896585737,28.02155228847726
right_ankle_bottom_angle_deg,100,66.6100603175333,8.544303242697852,46.86552801778562,59.83293350465796,67.27590540756663,72.2295193864355,89.27633909257409
trunk_min_deg,100,13.34411940360406,10.310408438046135,1.166467123058227,2.948462978431366,12.572572488843258,22.475029749063957,46.30797119547509
trunk_max_deg,100,41.29125111396095,17.59839650598079,9.972605293526032,23.936966875833743,41.500591123551494,57.604658058006116,68.77897253304043
trunk_mean_deg,100,30.78073133862194,17.325278384554437,5.329514395557996,15.464774387471596,25.371668277189784,46.5131874721358,63.15842453119104
trunk_std_deg,100,7.319369826129587,3.7855056597802275,0.48876859572505,4.638441194890912,7.155000070175107,9.6682617847487,17.47778487152285
trunk_range_deg,100,27.9471317103569,14.350317692726273,2.0258180762808,17.50375160920923,27.505457712706335,38.95067867113808,63.63232328982111
trunk_bottom_angle_deg,100,33.14821768925106,21.100057259071757,2.427437993395006,17.04823752134607,25.335557179997167,54.067812595351114,67.78344347173835
