video,view,frame,timestamp_ms,fps,frame_width,frame_height,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
side_person1.mp4,side,12,400,29.99761320979886,848,478,178.30560070325296,170.2494024111995,174.04693112729842,135.35619098995397,92.21132509898274,81.77734568534353,15.170270071236862
side_person1.mp4,side,13,433,29.99761320979886,848,478,178.01901928268677,170.1616807722508,173.822495486342,135.47447646095145,92.61448983385061,82.10433236822416,15.159911179624286
side_person1.mp4,side,14,467,29.99761320979886,848,478,177.89262231503247,169.91589959711405,173.62301282952188,135.74704922354096,93.25865996301683,82.11106057591897,15.279082386265692
side_person1.mp4,side,15,500,29.99761320979886,848,478,179.05475577677902,169.61776549795428,174.4380448654084,136.20425784138658,91.80351068135711,82.2168269209526,15.371726051058923
side_person1.mp4,side,16,533,29.99761320979886,848,478,178.09867847918218,169.6570937798988,172.82673771405658,135.93852614410505,93.83346792837814,82.1911918527214,15.411106673248554
side_person1.mp4,side,17,567,29.99761320979886,848,478,178.06945165807693,169.81431936461573,173.11837350336336,135.7815348899987,93.90161901657864,83.45230974130376,15.057123554398597
side_person1.mp4,side,18,600,29.99761320979886,848,478,178.26824834834946,169.8492524765353,172.9160685460517,135.78147459024163,93.73466242724598,82.87183018846031,15.124614702485859
side_person1.mp4,side,19,633,29.99761320979886,848,478,178.18618459227642,169.79857470830967,172.86948797834583,135.85325598592448,94.12498874881287,82.86569805138676,15.161702476779915
side_person1.mp4,side,20,667,29.99761320979886,848,478,179.01330336576902,169.6745111262816,173.96620479645807,135.7063042343193,92.7430995791412,82.47647137816449,15.273148733942145
side_person1.mp4,side,21,700,29.99761320979886,848,478,178.95156643778162,169.98217903092507,174.00990996600527,134.88569534889936,92.5942474770312,83.63944182719095,15.159100487932417
side_person1.mp4,side,22,733,29.99761320979886,848,478,178.88369274869734,169.1956122595167,173.88130300620932,135.59995181517132,92.31328661604407,81.99333309651617,15.261493315891924
side_person1.mp4,side,23,767,29.99761320979886,848,478,178.35910059688092,169.51937986154073,173.835575965044,135.73863141779393,93.56767302279928,82.47648127522123,15.308882673961518
side_person1.mp4,side,24,800,29.99761320979886,848,478,178.42088543835862,169.43693255707294,173.4404019699566,135.52008807314468,93.6026352497008,82.88945795133145,15.601025040664158
side_person1.mp4,side,25,833,29.99761320979886,848,478,177.24681462499777,170.5735955188329,171.23803860901006,135.63072796742594,97.13883156734454,84.0549624806367,14.938027024233444
side_person1.mp4,side,26,867,29.99761320979886,848,478,177.58972028360304,170.7831081062612,168.79323834171382,135.89444191179592,98.0834959966215,83.60400661561216,14.764563677828262
side_person1.mp4,side,27,900,29.99761320979886,848,478,177.24489363825566,170.80586708577664,169.02664095592922,136.38870661665814,98.00009606760916,85.29342965548707,14.142333941654678
side_person1.mp4,side,28,933,29.99761320979886,848,478,176.5894273549585,170.94428204927777,167.01710377978816,136.70460605135605,101.19069812759886,87.61303898692509,13.25864594192259
side_person1.mp4,side,29,967,29.99761320979886,848,478,173.86482230885716,169.6692563920839,166.621321670137,137.5393077237083,97.76952461857343,93.18531188608974,14.114926613594278
side_person1.mp4,side,30,1000,29.99761320979886,848,478,172.0564397249154,170.4832356716063,166.88824308959755,137.70554290115084,98.12169682102228,94.11463500598293,14.434952433932548
side_person1.mp4,side,31,1033,29.99761320979886,848,478,171.52089022602235,169.15311415604572,167.26054648923753,139.6201514419246,99.14648286185248,89.39360364521866,14.482271479197374
side_person1.mp4,side,32,1067,29.99761320979886,848,478,170.55808039144577,168.3274835201813,167.39296240347167,140.46806729358553,99.55795387718808,91.20540300091797,14.360051466273202
side_person1.mp4,side,33,1100,29.99761320979886,848,478,168.72314796350415,168.88111202163356,167.16347167862767,138.88171195297545,98.91179843545495,89.7568027842134,13.846262551972176
side_person1.mp4,side,34,1133,29.99761320979886,848,478,166.23894183072545,168.81790565823343,168.21931484614748,136.3191158489379,100.13059243585425,96.90504488953674,13.608619027559037
side_person1.mp4,side,35,1167,29.99761320979886,848,478,163.1814369395324,166.52188271541561,167.4489646536946,135.92084358755028,100.28788538944653,99.48949016669799,12.782926169760293
side_person1.mp4,side,36,1200,29.99761320979886,848,478,158.77536954099787,162.55792543721512,161.46099720486512,137.46352003644938,107.00411849341505,113.28672898800791,11.820728043936128
