unique_rep,participant,rep_id,left_knee_min_deg,left_knee_max_deg,left_knee_mean_deg,left_knee_std_deg,left_knee_range_deg,left_knee_bottom_angle_deg,right_knee_min_deg,right_knee_max_deg,right_knee_mean_deg,right_knee_std_deg,right_knee_range_deg,right_knee_bottom_angle_deg,left_hip_min_deg,left_hip_max_deg,left_hip_mean_deg,left_hip_std_deg,left_hip_range_deg,left_hip_bottom_angle_deg,right_hip_min_deg,right_hip_max_deg,right_hip_mean_deg,right_hip_std_deg,right_hip_range_deg,right_hip_bottom_angle_deg,left_ankle_min_deg,left_ankle_max_deg,left_ankle_mean_deg,left_ankle_std_deg,left_ankle_range_deg,left_ankle_bottom_angle_deg,right_ankle_min_deg,right_ankle_max_deg,right_ankle_mean_deg,right_ankle_std_deg,right_ankle_range_deg,right_ankle_bottom_angle_deg,trunk_min_deg,trunk_max_deg,trunk_mean_deg,trunk_std_deg,trunk_range_deg,trunk_bottom_angle_deg
side_person20_3,side_person20,3,79.75643650058481,115.63381390342772,90.85545629646185,10.256950938463827,35.87737740284291,81.39116029809136,130.09266120379672,145.50081677145806,135.4697298519477,4.774243976665236,15.408155567661339,131.51372970277413,73.188415142863,108.73542558213522,84.07518229678814,9.886999069033768,35.54701043927223,75.16587429649653,105.04354737928976,132.05004887781422,114.27657493602169,8.297823192415738,27.006501498524457,105.14477573257705,89.75003923470835,113.96391940956124,103.36752827851036,6.28339110196373,24.21388017485289,111.796691404273,130.4550561452936,142.09914142685807,136.1436816913567,3.4509051510506454,11.644085281564458,138.52021825041143,43.22056278562123,51.04851221071653,46.471239457199395,2.4050565952575167,7.827949425095298,43.5058884732041
side_person20_4,side_person20,4,83.29976068107155,116.75740169964564,94.60383220432044,10.323641059716552,33.457641018574094,90.06642622083395,131.6097910168285,147.0630776039118,135.45357632423264,3.5204065847666968,15.453286587083312,134.32179794014087,73.64230342576701,106.59663214826166,83.7441058822689,10.060926212562372,32.95432872249465,81.12446192651605,110.6743015796256,131.4890955012595,119.61487011451716,5.138647985375369,20.814793921633893,113.15094916417486,88.63967294860115,105.4552181276304,96.70967860280231,4.929068368957996,16.815545179029257,98.7726896151346,120.8921072486733,135.66494591316984,130.3581187758552,3.030353486482365,14.772838664496547,131.98143389391845,45.471395999842535,54.8174246785101,50.38298457335123,2.832328560918527,9.346028678667565,48.25444891102732
side_person20_5,side_person20,5,73.41880618665289,109.88189670910052,88.16469397679396,10.386006819340482,36.46309052244763,88.74484687462858,128.99210795147349,148.05769935115526,136.70563492766644,4.3797253629962185,19.06559139968178,136.07596197543424,63.060523149357095,102.11859060168266,79.10721149796576,11.02270166919495,39.05806745232556,80.82125698390688,101.56505369186952,128.18805973553788,110.77766987265478,7.808638262879309,26.623006043668354,105.41858677093002,85.28487413049537,100.93810870601456,94.068387679391,4.134554591314892,15.653234575519193,96.15891977769856,126.0223826294842,148.89564284953585,136.03293278435902,5.477623037310433,22.873260220051648,137.50766898481456,43.88561372641748,50.26333851911704,46.25932498416199,1.9764893404911568,6.37772479269956,45.0811914242491
side_person2_1,side_person2,1,102.220320425343,130.14079805440045,112.26369302473303,8.868339969066156,27.920477629057444,104.75472619442824,130.94740251971686,139.07712223039033,135.60648847802034,2.0165003406528155,8.12971971067347,133.901270290652,81.38066318498323,115.71597217854595,93.79344412418854,9.461157906546179,34.33530899356272,90.26582901752036,115.10257584428648,136.05803950033712,121.68129470091587,5.704447227295525,20.95546365605064,116.93818943444388,96.38843628400814,103.3329938235227,99.37675012205908,1.6200197190950612,6.9445575395145624,99.38707654512793,111.05591502099377,126.88717869654764,120.12253606521973,4.530357016132949,15.83126367555387,125.47926382436734,29.882461909520707,36.88801761742156,34.52993097376447,1.8193971313773958,7.005555707900854,35.85199614868941
side_person2_2,side_person2,2,104.40845830279792,127.96368204855057,112.68765881900137,7.629031088800724,23.55522374575264,104.40845830279792,126.08733710407805,141.16756283842594,133.39904327389505,4.983606840891351,15.080225734347891,129.8732419009768,87.34241232342829,113.19335649703712,99.26320994249335,6.3999400080348625,25.850944173608823,96.13340425961822,110.12862276008276,138.20972832541074,121.29897652447349,8.321729981318898,28.081105565327974,110.77104879729004,97.58667125840836,104.72596024162664,100.32022488655004,1.487066963048574,7.139288983218279,99.5790745006601,111.27060012416322,129.9367858374407,121.24840820261534,4.3146396657524,18.666185713277486,125.07599102213992,30.398496208111776,36.81625378820858,33.534280262576125,1.8682600728613301,6.417757580096801,31.2638545664656
side_person2_3,side_person2,3,110.41861682685466,134.6496683899327,118.77817190119629,7.2307756551038205,24.231051563078054,110.41861682685466,127.9689742022428,142.781577232505,135.41269662419222,4.006139281301337,14.812603030262181,132.11044146729898,95.96362661473452,115.451945371674,104.38938124945412,6.023326908712004,19.488318756939478,101.19450157876454,115.6856432332238,142.52530901789527,125.59529679001443,6.892858250866013,26.839665784671467,116.8487511197492,98.0705275530003,106.22715054519348,101.00597694770335,1.9703473636749373,8.156622992193178,100.82979007584213,111.21899123273543,131.0734226995255,122.05344711979838,4.785830147458386,19.854431466790075,125.83221377817424,28.470795202410383,39.88894967182174,35.31704756036339,2.847171471838566,11.418154469411359,37.23636818022956
side_person2_4,side_person2,4,112.5218807694765,134.81823080478583,118.95837458714487,5.923322194340252,22.29635003530933,112.77982819838056,131.04559944555766,146.20885283327175,135.82966570809248,3.051314135035446,15.163253387714093,136.90157809086455,95.22539422500029,113.07241951256258,102.41610561095939,5.255087295251976,17.84702528756229,97.91417918108404,117.7527615292614,145.1171065919624,126.69745850065021,7.263081648856019,27.36434506270099,118.1153886935216,98.06266966764346,104.99420781041962,101.12290478550952,1.393291468979493,6.931538142776162,102.51468918928504,108.29150018885068,132.31956539308564,123.46003041352552,6.192887572707885,24.028065204234963,132.31956539308564,31.3720087808253,39.47170788298682,36.23637437883216,2.1256677418366956,8.09969910216152,37.294738246116026
side_person2_5,side_person2,5,110.32641546146807,131.08696656082353,116.44947618241478,6.230564603764996,20.760551099355453,110.45917277527654,129.3408961903615,143.56171542012288,135.37343596541714,3.697954689744049,14.22081922976139,131.76745435630565,91.58898748262784,109.4336286847618,98.46478171599378,4.920865391111209,17.844641202133957,95.29217526742036,116.4426454464662,137.10167866059882,123.78496777510068,6.596717296815169,20.65903321413262,116.9236669255493,97.60738808250692,103.88003594044928,100.82087483306114,1.8188276697984476,6.27264785794236,103.07928316536596,110.76854909663145,134.59368022968235,125.20120610688825,5.528491132326407,23.825131133050903,130.47105783780265,33.78013820241074,40.54417416116487,37.67278221511708,1.7686768242626436,6.764035958754128,38.52761465684477
side_person3_1,side_person3,1,109.5499255667245,131.5987937818322,116.02086703857194,6.518804731572891,22.048868215107703,110.11460616689816,116.9405791491338,133.15675497668795,122.0150451131068,3.7875267549571823,16.216175827554153,118.29038201129302,112.66998424495488,125.3316110476398,116.71925313352324,3.6564966501720875,12.661626802684921,115.2712642763394,121.30619492368452,146.52587145041284,130.00001337894403,7.05012128660589,25.21967652672832,121.3817834578798,111.5834151867963,127.5584430374086,118.56710259801157,4.384145409461279,15.975027850612292,126.6854652660476,122.18103121727076,136.4802106205346,129.9309114814871,3.687595715631396,14.299179403263835,134.4275366129041,14.088416600277432,24.54784283111857,19.388577984378312,2.6836319485084834,10.459426230841137,18.89016009704575
side_person3_2,side_person3,2,109.7344447007285,130.19764427407756,115.10035650769721,5.2892371775313265,20.46319957334906,109.8649431132352,114.74498187211285,133.9571762411128,121.52781437179873,5.404059563146386,19.212194368999945,116.06614557144258,115.21805328545882,130.2835401564253,119.26601685161654,3.658516934290826,15.065486870966467,116.25681462871036,126.77308541233306,148.9858168845555,132.5238547695134,5.6114977575698965,22.212731472222444,127.46639184646016,114.0592068038589,123.97712691703887,120.78078583966783,1.9203457740720957,9.917920113179974,122.91713555692384,117.1268596532588,145.76491715290368,133.28480811985074,6.626644169095368,28.638057499644873,137.1729477998619,10.916302967045732,19.308863473545607,16.054460977398325,2.4652011437813375,8.392560506499875,19.13754254870733
