video,view,frame,timestamp_ms,fps,frame_width,frame_height,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
person_11.mp4,front,17,284,59.92000209144859,848,478,148.3862659551906,149.10168430458032,164.62109686294494,167.9654561383193,85.07421984054245,84.84073491919014,21.072636490808605
person_11.mp4,front,18,300,59.92000209144859,848,478,148.0450322581557,148.842710300698,164.56589838377593,167.9072716138488,84.86446010622056,84.85040224775975,20.93231483309853
person_11.mp4,front,19,317,59.92000209144859,848,478,148.3022701108957,148.94207819182742,164.91643351585233,167.7164704023157,85.04555966565285,85.19162311517239,20.83033262514737
person_11.mp4,front,20,334,59.92000209144859,848,478,148.16707538959713,148.9838175302758,165.00236324591967,167.50758496846947,85.08710584849673,85.8011781824861,20.558815220858175
person_11.mp4,front,21,350,59.92000209144859,848,478,148.0881927097154,148.77745445497118,165.03079086581099,167.52513127890987,85.13818247419314,85.72096752634154,20.566838987866113
person_11.mp4,front,22,367,59.92000209144859,848,478,148.3712006233747,148.74098259353977,165.04464113272542,167.5175283319631,85.26398315265567,85.70392480553129,20.64077140920051
person_11.mp4,front,23,384,59.92000209144859,848,478,148.4783988201693,148.85894552950973,165.30812140194416,167.60387599120241,85.27258003640097,85.7321088104994,20.537580107463313
person_11.mp4,front,24,401,59.92000209144859,848,478,148.8186140379971,148.30509982108515,165.97290837803243,166.52764723915794,85.53315137677106,85.94774409476922,20.428566523212734
person_11.mp4,front,25,417,59.92000209144859,848,478,148.77783528988795,148.3193102264035,165.9338715924923,166.5022865223476,85.52467456280395,85.88401269299194,20.419151731435736
person_11.mp4,front,26,434,59.92000209144859,848,478,147.93597332305362,146.98567610898357,165.65269236236995,166.46000441238135,84.56787003480053,84.5142135084049,20.691888489080696
person_11.mp4,front,27,451,59.92000209144859,848,478,148.0603781287012,147.24895792532303,165.6668985654067,166.55642954759296,84.92933700776136,84.65758502953682,20.639632034072456
person_11.mp4,front,28,467,59.92000209144859,848,478,148.15762301366178,147.45372114433818,165.75132975879788,166.4845160379273,84.97188510861089,84.91366991716525,20.635857137494877
person_11.mp4,front,29,484,59.92000209144859,848,478,148.44441772454084,147.6513013469179,165.66887885357002,166.55111956286237,85.17888657243672,85.05699486709447,20.605777345265196
person_11.mp4,front,30,501,59.92000209144859,848,478,148.41798870414033,147.43931029751124,165.50933972522492,166.8708809800046,85.18953958538434,84.63336875122879,20.68079388812482
person_11.mp4,front,31,517,59.92000209144859,848,478,148.7094269583159,147.61538460781784,165.69309839436346,166.73206476326988,85.41260746127416,84.65859091696782,20.79554562624556
person_11.mp4,front,32,534,59.92000209144859,848,478,147.30461351501745,147.15951052871577,165.1038240322587,166.53811963383987,84.40262729716531,84.20560065385139,20.885748617427183
person_11.mp4,front,33,551,59.92000209144859,848,478,147.9524463855529,147.6913723924528,165.08437079006885,167.12359050041997,84.97006741906698,84.70181954592906,20.778010225974324
person_11.mp4,front,34,567,59.92000209144859,848,478,148.25541118932773,147.85839292989638,165.2220321030257,167.70943633696308,85.1605959619787,84.86589772373215,20.43102905915679
person_11.mp4,front,35,584,59.92000209144859,848,478,148.60860952583653,148.21902280746755,165.30900625239653,167.86175813948657,85.46318136549871,85.10298793337448,20.452507362040603
person_11.mp4,front,36,601,59.92000209144859,848,478,149.01334773313746,148.3026620009779,165.42585739174245,168.06686868347873,85.69038136490883,85.30619458655508,20.278986825851064
